listing_id,url,stage,error_type,error_message,timestamp,retry_count
321836264,https://www.bayut.eg/تفاصيل-503966421/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.525878+00:00,0
309770153,https://www.bayut.eg/تفاصيل-502172605/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.494242+00:00,0
317214921,https://www.bayut.eg/تفاصيل-502851487/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.447600+00:00,0
321839510,https://www.bayut.eg/تفاصيل-503966966/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.351481+00:00,0
321881476,https://www.bayut.eg/تفاصيل-503985370/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.255614+00:00,0
321842203,https://www.bayut.eg/تفاصيل-503969051/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.255614+00:00,0
319978764,https://www.bayut.eg/تفاصيل-503027752/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.247819+00:00,0
320463082,https://www.bayut.eg/تفاصيل-503150949/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.224869+00:00,0
321844410,https://www.bayut.eg/تفاصيل-503971350/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.170382+00:00,0
321839893,https://www.bayut.eg/تفاصيل-503966265/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.020787+00:00,0
321842555,https://www.bayut.eg/تفاصيل-503969469/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:39.014483+00:00,0
321867179,https://www.bayut.eg/تفاصيل-503977536/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.981313+00:00,0
309799000,https://www.bayut.eg/تفاصيل-190003859/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.965586+00:00,0
321843166,https://www.bayut.eg/تفاصيل-503964061/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.934728+00:00,0
321843204,https://www.bayut.eg/تفاصيل-503967004/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.759620+00:00,0
321841209,https://www.bayut.eg/تفاصيل-503968994/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.743960+00:00,0
321842731,https://www.bayut.eg/تفاصيل-503969682/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.728112+00:00,0
320996355,https://www.bayut.eg/تفاصيل-503446378/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.718857+00:00,0
321840624,https://www.bayut.eg/تفاصيل-503968275/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.677942+00:00,0
321843486,https://www.bayut.eg/تفاصيل-503970481/العقار.html,detail_fetch,network_error,'ascii' codec can't encode characters in position 5-10: ordinal not in range(128),2026-08-24T16:01:38.576210+00:00,0
